Sz_each_site,c_xxs,c_zzs
0.0025573417830377296,1.5676537742088337,0.275700018916761
0.06282832637672904,0.838744210404534,0.0980348106328569
0.07549885512810528,0.529852042410621,0.011736741627766101
0.09130948915164178,0.43169570511684796,0.002423200650465321
0.10876325848955842,0.3753579962846684,0.00702036113272427
0.11581122050285902,0.33829316519269126,0.007716705850212382
0.11718728254028524,0.3114539847404376,0.008867620258280669
0.11252728634035145,0.2897519773173306,0.009755633885204605
0.10553655059909445,0.2728146426772071,0.010337303440645916
0.09896557481231116,0.2588605171365875,0.010714159635858877
0.09512461907862985,0.24770258693426334,0.010786861960077781
0.09488210272642489,0.23853537076955725,0.010743279446433777
0.09773564000759356,0.23045368026925284,0.010552160057211192
0.10216748378727664,0.22346307091337242,0.010362532780468982
0.10631776752202626,0.2163476928905898,0.01017373995497092
0.10867907822352404,0.20981188339025586,0.01002642396717998
0.10858565896963149,0.20279283478118248,0.00995013528674692
0.10635325395907158,0.19625275087602248,0.009882262714790695
0.10305636324212873,0.18953399874981403,0.009900660262020345
0.10005687534793853,0.18331970039949946,0.009890371917844467
0.0984741113689118,0.17744965839800508,0.009969951429020081
0.09879152476005626,0.17201197562372722,0.010023700276057979
0.10073080956381429,0.16733343583724136,0.010163308984628734
0.10341809803808005,0.16292622155837505,0.01030476296134026
0.1057591743715757,0.15946794684681126,0.010494568554692826
0.10686995946765163,0.15615307733801523,0.010700574654190092
0.10639862541365186,0.15373585904804626,0.010877759571370365
0.1046258692767166,0.15142404683122052,0.011060512531756984
0.10231930886382531,0.14972342997493865,0.011134484792382878
0.10041087941884486,0.14813219877750908,0.011199112275416381
0.09962894403775796,0.1466843999046942,0.0111227676009069
0.10022715930822775,0.14533225932259475,0.011038237786573089
0.10190861109748738,0.1436308882349355,0.010847967405397537
0.10396543547882861,0.14199568364590184,0.0106621167566059
0.10557122330209201,0.13970414970999445,0.010449711780263314
0.10610768777739635,0.13747316453895359,0.010247118769427771
0.10539868857139642,0.1345992919630261,0.010100541065372677
0.10376430791429203,0.13181300811263005,0.009955571991120514
0.10188007560290971,0.12869361072394062,0.009923646287486208
0.10050162027813511,0.1256851703400153,0.009883960200799569
0.10016546636553197,0.1227925547089131,0.009976421284016625
0.10098304016621548,0.11999744377625413,0.010063220121241173
0.10260581116244327,0.11771606932032372,0.010257022980258853
0.10437183189135787,0.115491423617614,0.010455009308330059
0.10557281787006295,0.11398577304035164,0.010689921077398778
0.10573523412738853,0.11250464859235042,0.010933003291854123
0.1048050789563566,0.11168764659694427,0.01111588269075179
0.10316484731204033,0.11088799016203527,0.011300542331102064
0.10147791329132733,0.11044844592098324,0.011341646313904547
0.10042274413881946,0.11002864091143943,0.011377717909945892
0.10042274501829704,0.10951697890103587,0.011244344700163719
0.10147792668524204,0.10902107934691697,0.011108681536534055
0.10316486462519397,0.10800445932849209,0.010851510397436186
0.10480507657403373,0.10700036297285304,0.01060052942158657
0.10573522977977173,0.10525413349619837,0.01032766998235271
0.10557280168107616,0.10353513525804603,0.010063204656583469
0.1043718050587519,0.10116120478228548,0.009884770323982533
0.1026057772521152,0.09884408298466477,0.009707459693385684
0.10098301894651075,0.09623148278825816,0.00969303263316267
0.10016545163609886,0.0936937473243453,0.009673415607885968
0.10050161068649946,0.09133698413911605,0.009837995559267928
0.10188007986516667,0.08904220870280387,0.01000175390045711
0.1037643012051721,0.08733042871243234,0.010303498210688041
0.10539866805643783,0.08564863940822807,0.01061443728624249
0.1061076596821901,0.08472608030850268,0.010952832896768306
0.1055711799023193,0.08380988679427737,0.011302515469516692
0.1039653841507191,0.08353043812407848,0.011535474819699864
0.10190856480328586,0.08325274874129182,0.011770841456914661
0.10022711733708839,0.08321540494755053,0.011771473108279617
0.0996289031930655,0.08318132116506916,0.011767836126761891
0.1004108466675731,0.08284556006413983,0.011499952425425376
0.10231927980950184,0.08251137865074747,0.011235288119564174
0.10462583305022835,0.08139621815942709,0.010789561962882811
0.10639858217406874,0.08029235071191573,0.010361271236159812
0.10686991137079499,0.07820371593144661,0.009915882689584118
0.10575912418997449,0.0761654488831143,0.009489749984980788
0.10341804245123085,0.07332354990483887,0.009225700321522964
0.10073075562751577,0.07058665909298922,0.00896642786270704
0.09879148372113536,0.06754969184742807,0.00900234828289402
0.09847408188201995,0.0646439960263717,0.009033759226440417
0.10005684948177332,0.062062124366915744,0.009405090547612776
0.1030563346635393,0.059582214695461606,0.009788793406554917
0.10635321367006861,0.05792543283136186,0.010439885135973118
0.1085856049690184,0.056311179556108384,0.011134178423584362
0.10867901497420386,0.0557073561749426,0.011870178773481007
0.10631769721338397,0.05510706301235644,0.012654303029717642
0.10216741547465207,0.05527848238716852,0.013173303031500537
0.09773558024338942,0.05545000522049334,0.013710448908351484
0.09488205418105439,0.05571305266415828,0.01353928280797605
0.09512458281889874,0.055977447846299724,0.013365723549762535
0.09896554668744137,0.05540755489263341,0.012538779833985521
0.10553652237414954,0.05484170137156953,0.011759137290832992
0.1125272471248357,0.05216621116753926,0.009861339491420677
0.11718722377610855,0.04961786336820983,0.008268221344555774
0.1158111439212642,0.045307943315932145,0.00682842761772893
0.10876316883652806,0.041369756547416425,0.00563841456347247
0.09130940131705188,0.03277839910753368,0.004710977370450143
0.07549877850526726,0.02596990129901225,0.003930284784629777
0.06282828641869341,0.022788326832606155,0.00014230616231381883
0.0025572984841960647,0.01999633698899352,1.3175642317223303e-5
